1 Greg Zuerlein
2 Justin Tucker
3 Wil Lutz
4 Harrison Butker
5 Stephen Gostkowski
6 Robbie Gould
7 Ka'imi Fairbairn
8 Jake Elliott
9 Mason Crosby
10 Mike Badgley
11 Brett Maher
12 Matt Bryant
13 Jason Myers
14 Matt Gay
15 Dan Bailey
16 Austin Seibert
17 Adam Vinatieri
18 Ryan Succop
19 Joey Slye
20 Matt Prater
21 Chris Boswell
22 Aldrick Rosas
23 Brandon McManus
24 Josh Lambo
25 Dustin Hopkins
26 Eddy Pineiro
27 Daniel Carlson
28 Taylor Bertolet
29 Randy Bullock
30 Jason Sanders
31 Stephen Hauschka
32 Zane Gonzalez
