1 Darius Leonard
2 Luke Kuechly
3 Bobby Wagner
4 Deion Jones
5 Leighton Vander
6 Blake Martinez
7 Roquan Smith
8 Tremaine Edmunds
9 Cory Littleton
10 Lavonte David
11 C.J. Mosley
12 Kwon Alexander
13 Jaylon Smith
14 Demario Davis
15 Kiko Alonso
16 Devin White
17 Christian Kirksey
18 Eric Kendricks
19 Jordan Hicks
20 Khalil Mack
21 Mason Foster
22 Myles Jack
23 Avery Williamson
24 Alec Ogletree
25 Jarrad Davis
26 Anthony Hitchens
27 Joe Schobert
28 Jayon Brown
29 Zach Cunningham
30 Danny Trevathan
