1 Saquon Barkley
2 Christian McCaffrey
3 Alvin Kamara
4 Ezekiel Elliott
5 Le'Veon Bell
6 David Johnson
7 James Conner
8 Nick Chubb
9 Joe Mixon
10 Todd Gurley
11 Dalvin Cook
12 Leonard Fournette
13 Chris Carson
14 Aaron Jones
15 Devonta Freeman
16 Kerryon Johnson
17 Josh Jacobs
18 Derrick Henry
19 Damien Williams
20 David Montgomery
21 James White
22 Marlon Mack
23 Mark Ingram
24 Sony Michel
25 Phillip Lindsay
26 Duke Johnson
27 Tevin Coleman
28 Melvin Gordon
29 Miles Sanders
30 Austin Ekeler
31 Kenyan Drake
32 Devin Singletary
33 Tarik Cohen
34 Derrius Guice
35 Matt Breida
36 Darrell Henderson
37 Kalen Ballage
38 Latavius Murray
39 Rashaad Penny
40 Royce Freeman
41 LeSean McCoy
42 Jordan Howard
43 Adrian Peterson
44 Peyton Barber
45 Justice Hill
46 Justin Jackson
47 Chris Thompson
48 C.J. Anderson
49 Tony Pollard
50 Dion Lewis
51 Ty Montgomery
52 Dare Ogunbowale
53 Jaylen Samuels
54 Jalen Richard
55 Giovani Bernard
56 Damien Harris
57 Ito Smith
58 Jamaal Williams
59 Alexander Mattison
60 Ronald Jones
61 Frank Gore
62 Ryquell Armstead
63 Nyheim Hines
64 Carlos Hyde
65 Chase Edmonds
66 Darwin Thompson
67 Kareem Hunt
68 Rex Burkhead
69 Malcolm Brown
70 Gus Edwards
71 Dontrell Hilliard
72 Mike Davis
73 Devontae Booker
74 Wayne Gallman
75 Benny Snell
76 Raheem Mostert
77 Ty Johnson
78 Reggie Bonnafon
79 Bilal Powell
80 T.J. Yeldon
