1 DeAndre Hopkins
2 Davante Adams
3 Julio Jones
4 Michael Thomas
5 Odell Beckham Jr.
6 Tyreek Hill
7 JuJu Smith-Schuster
8 Mike Evans
9 Keenan Allen
10 Antonio Brown
11 Adam Thielen
12 Amari Cooper
13 Stefon Diggs
14 Julian Edelman
15 Robert Woods
16 Chris Godwin
17 Cooper Kupp
18 Brandin Cooks
19 Kenny Golladay
20 Tyler Lockett
21 D.J. Moore
22 Allen Robinson
23 T.Y. Hilton
24 Tyler Boyd
25 Calvin Ridley
26 Mike Williams
27 Alshon Jeffery
28 Jarvis Landry
29 Dede Westbrook
30 Curtis Samuel
31 Josh Gordon
32 A.J. Green
33 Corey Davis
34 Marvin Jones
35 Robby Anderson
36 Sterling Shepard
37 Christian Kirk
38 Emmanuel Sanders
39 Tyrell Williams
40 Larry Fitzgerald
41 Sammy Watkins
42 Courtland Sutton
43 Will Fuller
44 Dante Pettis
45 Michael Gallup
46 Donte Moncrief
47 DeSean Jackson
48 James Washington
49 Jamison Crowder
50 John Brown
51 Albert Wilson
52 Mohamed Sanu
53 Geronimo Allison
54 Marquez Valdes-Scantling
55 Keke Coutee
56 Golden Tate
57 Quincy Enunwa
58 Anthony Miller
59 Paul Richardson
60 Kenny Stills
61 Deebo Samuel
62 DaeSean Hamilton
63 D.K. Metcalf
64 DeVante Parker
65 Trey Quinn
66 Rashard Higgins
67 Ted Ginn
68 Cole Beasley
69 Terry McLaurin
70 Devin Funchess
71 Preston Williams
72 Robert Foster
73 Andy Isabella
74 Randall Cobb
75 Marqise Lee
76 Tre'Quan Smith
77 Adam Humphries
78 Marquise Brown
79 Danny Amendola
80 Willie Snead
